filename,width,height,class,xmin,ymin,xmax,ymax
resized_26-03-2023 195848.jpg,672,378,car,289,96,424,209
resized_26-03-2023 200347.jpg,672,378,car,220,140,485,229
resized_26-03-2023 200753.jpg,672,378,car,87,158,410,267
resized_26-03-2023 200900.jpg,672,378,car,319,172,396,227
resized_26-03-2023 201013.jpg,672,378,car,290,147,411,247
resized_26-03-2023 201617.jpg,672,378,car,308,93,541,257
resized_26-03-2023 201838.jpg,672,378,car,189,139,330,252
resized_26-03-2023 202259.jpg,672,378,car,386,148,632,238
resized_26-03-2023 202343.jpg,672,378,car,115,108,388,219
resized_26-03-2023 202711.jpg,672,378,car,296,114,397,188
resized_26-03-2023 202724.jpg,672,378,car,264,104,463,183
resized_26-03-2023 203034.jpg,672,378,car,150,64,506,269
resized_26-03-2023 203431.jpg,672,378,car,149,76,502,257
resized_26-03-2023 203838.jpg,672,378,car,237,135,368,202
resized_26-03-2023 203923.jpg,672,378,car,155,131,424,227
resized_26-03-2023 204213.jpg,672,378,car,446,176,638,254
resized_26-03-2023 204259.jpg,672,378,car,351,133,428,184
resized_26-03-2023 204439.jpg,672,378,car,246,112,500,199
resized_26-03-2023 204630.jpg,672,378,car,229,124,510,215
resized_26-03-2023 204658.jpg,672,378,car,216,118,461,206
resized_26-03-2023 204858.jpg,672,378,car,329,121,478,181
resized_26-03-2023 204942.jpg,672,378,car,439,103,601,154
resized_26-03-2023 205317.jpg,672,378,car,303,132,432,236
resized_26-03-2023 205326.jpg,672,378,car,73,122,255,193
resized_26-03-2023 205450.jpg,672,378,car,399,130,586,225
resized_26-03-2023 205604.jpg,672,378,car,118,111,296,211
resized_26-03-2023 205710.jpg,672,378,car,257,129,564,239
resized_26-03-2023 210043.jpg,672,378,car,346,104,537,209
resized_26-03-2023 210043.jpg,672,378,car,523,110,606,162
resized_26-03-2023 210043.jpg,672,378,car,590,101,626,129
resized_26-03-2023 210322.jpg,672,378,car,304,138,323,152
resized_26-03-2023 210322.jpg,672,378,car,351,137,423,178
resized_26-03-2023 210322.jpg,672,378,car,531,154,672,290
resized_26-03-2023 210421.jpg,672,378,car,281,86,454,151
resized_26-03-2023 210421.jpg,672,378,car,320,95,596,188
resized_26-03-2023 210421.jpg,672,378,car,582,80,672,141
resized_26-03-2023 210425.jpg,672,378,car,210,145,368,203
resized_26-03-2023 210425.jpg,672,378,car,133,140,228,185
resized_26-03-2023 210629.jpg,672,378,car,358,17,395,45
resized_26-03-2023 210629.jpg,672,378,car,489,34,672,175
resized_26-03-2023 210629.jpg,672,378,car,351,37,416,81
resized_26-03-2023 210629.jpg,672,378,car,190,35,358,146
resized_26-03-2023 210728.jpg,672,378,car,189,98,278,157
resized_26-03-2023 210728.jpg,672,378,car,117,86,166,115
resized_26-03-2023 210728.jpg,672,378,car,1,95,101,192
resized_26-03-2023 210728.jpg,672,378,car,25,77,61,100
resized_26-03-2023 210939.jpg,672,378,car,101,138,425,268
resized_26-03-2023 210939.jpg,672,378,car,469,129,542,165
resized_26-03-2023 211001.jpg,672,378,car,1,119,233,218
resized_26-03-2023 211133.jpg,672,378,car,432,96,645,206
resized_26-03-2023 211133.jpg,672,378,car,8,92,97,150
resized_26-03-2023 211201.jpg,672,378,car,92,138,431,247
resized_26-03-2023 211201.jpg,672,378,car,488,119,661,197
resized_26-03-2023 211321.jpg,672,378,car,344,147,546,299
resized_26-03-2023 211326.jpg,672,378,car,210,117,425,202
resized_26-03-2023 211326.jpg,672,378,car,432,104,555,163
resized_26-03-2023 211430.jpg,672,378,car,271,72,427,133
resized_26-03-2023 211430.jpg,672,378,car,435,70,614,163
resized_26-03-2023 211626.jpg,672,378,car,353,138,608,267
resized_26-03-2023 211626.jpg,672,378,car,172,107,211,135
resized_26-03-2023 211716.jpg,672,378,car,212,133,295,178
resized_26-03-2023 211716.jpg,672,378,car,288,126,457,200
resized_26-03-2023 211758.jpg,672,378,car,76,109,190,185
resized_26-03-2023 211758.jpg,672,378,car,216,95,358,175
resized_26-03-2023 211758.jpg,672,378,car,419,125,672,228
resized_26-03-2023 211920.jpg,672,378,car,19,59,318,251
resized_26-03-2023 211920.jpg,672,378,car,382,55,543,164
resized_26-03-2023 211927.jpg,672,378,car,490,109,672,178
resized_26-03-2023 212045.jpg,672,378,car,311,111,608,211
resized_26-03-2023 212045.jpg,672,378,car,1,73,226,164
resized_26-03-2023 212055.jpg,672,378,car,1,52,194,143
resized_26-03-2023 212055.jpg,672,378,car,430,117,672,270
resized_26-03-2023 212203.jpg,672,378,car,1,99,302,200
resized_26-03-2023 212203.jpg,672,378,car,419,93,616,160
resized_26-03-2023 212209.jpg,672,378,car,194,119,502,249
resized_26-03-2023 212209.jpg,672,378,car,1,98,143,188
resized_26-03-2023 212322.jpg,672,378,car,376,143,655,228
resized_26-03-2023 212322.jpg,672,378,car,27,143,223,210
resized_26-03-2023 212322.jpg,672,378,car,1,157,93,288
resized_26-03-2023 212336.jpg,672,378,car,1,176,208,257
resized_26-03-2023 212336.jpg,672,378,car,256,155,407,217
resized_26-03-2023 212336.jpg,672,378,car,583,135,660,172
resized_26-03-2023 212336.jpg,672,378,car,496,142,591,182
